id,x,gps_y,calle_esperada
0,0.200,0.4900,A
1,0.215,0.4905,A
2,0.230,0.4896,A
3,0.245,0.4902,A
4,0.260,0.5110,A
5,0.275,0.4898,A
6,0.290,0.4904,A
7,0.305,0.4897,A
8,0.320,0.5110,A
9,0.335,0.4901,A
10,0.350,0.4895,A
11,0.365,0.4903,A
12,0.380,0.5110,A
13,0.395,0.4899,A
14,0.410,0.4904,A
15,0.425,0.4896,A
16,0.440,0.5110,A
17,0.455,0.4902,A
18,0.470,0.4897,A
19,0.485,0.4903,A
20,0.500,0.5110,A
21,0.515,0.4898,A
22,0.530,0.4905,A
23,0.545,0.4896,A
24,0.560,0.5110,A
25,0.575,0.4901,A
26,0.590,0.4897,A
27,0.605,0.4904,A
28,0.620,0.5110,A
29,0.635,0.4899,A
30,0.650,0.4903,A
31,0.665,0.4895,A
32,0.680,0.5110,A
33,0.695,0.4902,A
34,0.710,0.4898,A
35,0.725,0.4904,A
36,0.740,0.5110,A
37,0.755,0.4896,A
38,0.770,0.4901,A
39,0.785,0.4898,A
